item1,item2,similarity
Item_1,Item_2,0.1175912803419
Item_1,Item_4,0.22974621475555
Item_1,Item_6,0.26381889870446
Item_1,Item_8,0.18269574003892
Item_1,Item_9,0.17080036324138
Item_1,Item_12,0.1463627707181
Item_1,Item_14,0.19602479793593
Item_1,Item_16,0.061088141386233
Item_1,Item_17,0.052045470730135
Item_1,Item_18,0.35825415145948
Item_1,Item_20,0.0058851638290865
Item_2,Item_1,0.1175912803419
Item_2,Item_3,0.00051022958312342
Item_2,Item_4,0.14298667074278
Item_2,Item_8,0.070459653548202
Item_2,Item_9,0.051749571196703
Item_2,Item_11,0.059048139756615
Item_2,Item_12,0.13142845063355
Item_2,Item_13,0.043434785622064
Item_2,Item_17,0.053392538270985
Item_2,Item_18,0.22611865382503
Item_2,Item_19,0.16207459013945
Item_3,Item_2,0.00051022958312342
Item_3,Item_4,0.054955232894056
Item_3,Item_5,0.099667451722951
Item_3,Item_6,0.012798846974277
Item_3,Item_9,0.058921899858264
Item_3,Item_10,0.28269602495573
Item_3,Item_13,0.02705631771886
Item_3,Item_18,0.033145196006541
Item_4,Item_1,0.22974621475555
Item_4,Item_2,0.14298667074278
Item_4,Item_3,0.054955232894056
Item_4,Item_9,0.21598369242477
Item_4,Item_10,0.24474224814277
Item_4,Item_13,0.080582089006722
Item_4,Item_14,0.14680371023878
Item_4,Item_15,0.085937250603033
Item_4,Item_17,0.034169383637715
Item_4,Item_18,0.1512900299829
Item_4,Item_19,0.048522826648862
Item_4,Item_20,0.30778193509359
Item_5,Item_3,0.099667451722951
Item_5,Item_6,0.15342004474633
Item_5,Item_8,0.03104602574216
Item_5,Item_9,0.23821276336571
Item_6,Item_1,0.26381889870446
Item_6,Item_3,0.012798846974277
Item_6,Item_5,0.15342004474633
Item_6,Item_8,0.19676860006345
Item_6,Item_10,0.068706450233514
Item_6,Item_12,0.21080360167817
Item_6,Item_13,0.077261364251377
Item_6,Item_14,0.12256582019807
Item_6,Item_15,0.14121370089843
Item_6,Item_16,0.16146598367331
Item_6,Item_17,0.33236189669511
Item_6,Item_18,0.19600937437162
Item_6,Item_20,0.11788885747605
Item_7,Item_10,0.47476936226213
Item_7,Item_11,0.073614678610726
Item_7,Item_13,0.66881487269328
Item_7,Item_16,0.2446334444927
Item_7,Item_17,0.12070144288246
Item_7,Item_18,0.084954176849691
Item_7,Item_19,0.14386101582486
Item_8,Item_1,0.18269574003892
Item_8,Item_2,0.070459653548202
Item_8,Item_5,0.03104602574216
Item_8,Item_6,0.19676860006345
Item_8,Item_10,0.016675933649127
Item_8,Item_11,0.14589518241409
Item_8,Item_12,0.38910250570493
Item_8,Item_13,0.069372552350406
Item_8,Item_14,0.048707216165881
Item_8,Item_15,0.11701920815119
Item_8,Item_17,0.19319980925999
Item_8,Item_18,0.51108824819043
Item_9,Item_1,0.17080036324138
Item_9,Item_2,0.051749571196703
Item_9,Item_3,0.058921899858264
Item_9,Item_4,0.21598369242477
Item_9,Item_5,0.23821276336571
Item_9,Item_10,0.18706070454288
Item_9,Item_11,0.018058205107226
Item_9,Item_12,0.046864438574999
Item_9,Item_15,0.13654843634703
Item_9,Item_16,0.22536801662472
Item_9,Item_18,0.13061461430645
Item_9,Item_19,0.15371829873397
Item_9,Item_20,0.19180502054945
Item_10,Item_3,0.28269602495573
Item_10,Item_4,0.24474224814277
Item_10,Item_6,0.068706450233514
Item_10,Item_7,0.47476936226213
Item_10,Item_8,0.016675933649127
Item_10,Item_9,0.18706070454288
Item_10,Item_12,0.19988591639056
Item_10,Item_13,0.044956852951349
Item_10,Item_15,0.093877539648022
Item_10,Item_16,0.35889271704139
Item_10,Item_18,0.018171808922495
Item_11,Item_2,0.059048139756615
Item_11,Item_7,0.073614678610726
Item_11,Item_8,0.14589518241409
Item_11,Item_9,0.018058205107226
Item_11,Item_13,0.17790361988052
Item_11,Item_15,0.19623551704556
Item_11,Item_19,0.28736583939006
Item_11,Item_20,0.0056877420007966
Item_12,Item_1,0.1463627707181
Item_12,Item_2,0.13142845063355
Item_12,Item_6,0.21080360167817
Item_12,Item_8,0.38910250570493
Item_12,Item_9,0.046864438574999
Item_12,Item_10,0.19988591639056
Item_12,Item_15,0.032151311747437
